ID,Backlog,In Analysis,Ready for Development,In Development,In Sign Off,Done,Type
DATA-179,2024-01-22,2024-01-25,2024-01-25,2024-01-28,2024-01-28,2024-01-28,Story
DATA-180,2024-01-23,2024-01-24,2024-01-24,,,,Story
DATA-181,2024-01-24,2024-01-28,,2024-01-29,,,Story
DATA-182,2024-01-24,,,2024-01-24,,,Task
DATA-183,2024-01-24,,,,,,Story
DATA-184,2024-01-24,,,2024-01-25,,2024-01-28,Task
DATA-185,2024-01-24,,,,,,Task
DATA-186,2024-01-24,,,,,,Task
DATA-187,2024-01-24,,,,,,Task
DATA-188,2024-01-24,,,,,,Task
DATA-189,2024-01-24,,,,,,Task
DATA-190,2024-01-24,,,,,,Bug
DATA-191,2024-01-28,,,2024-01-28,,2024-01-29,Task
DATA-192,2024-01-28,,,2024-01-29,2024-01-29,2024-01-29,Task
DATA-193,2024-01-28,,2024-01-29,2024-01-29,2024-01-29,2024-01-30,Task
DATA-194,2024-01-28,,,,,,Task
DATA-195,2024-01-29,2024-01-29,,,,2024-01-29,Task
DATA-196,2024-01-29,,2024-01-29,2024-01-30,,2024-01-30,Story
DATA-197,2024-01-29,,2024-01-29,,,,Story
DATA-198,2024-01-29,,,,,,Story
DATA-199,2024-01-29,,,,,,Task
DATA-200,2024-01-29,,,,,,Bug
